GPS-Point,Veg-Type,MorphDyn,Age-Pin,Sub-1,Sub-2,Sub-3,Sub-4,VegDens-1,VegDens-2,VegDens-3,VegDens-4,VegHeight-1,VegHeight-2,VegHeight-3,VegHeight-4,Pnt-live,Pnt-dead,Pnt-Vit,Pnt-Shoots
271,Pionier,3,8,0,30,30,40,10,20,0,0,1,30,-,-,30,70,3,9
272,Pionier,2,5,0,20,40,40,5,20,10,0,1,10,110,-,70,60,4,4
273,Grauerlengeb《ch,3,6,5,80,5,10,5,40,20,0,1,15,140,-,80,80,4,2
274,Grauerlengeb《ch,3,6,5,80,5,10,5,40,20,0,1,15,140,-,160,130,4,1
275,Grauerlengeb《ch,3,6,5,80,5,10,5,40,20,0,1,15,140,-,90,50,4,2
276,Grauerlengeb《ch,3,6,5,90,5,0,0,50,40,0,-,20,130,-,85,80,4,2
277,Grauerlengeb《ch,3,6,5,90,5,0,10,60,10,0,1,20,120,-,130,200,5,9
278,Grauerlengeb《ch,3,6,5,90,5,0,10,40,20,0,1,20,150,-,-,70,6,3
279,Grauerlengeb《ch,3,6,0,50,20,30,5,40,60,0,1,20,300,-,60,-,3,0
280,Grauerlengeb《ch,3,6,0,45,45,10,10,30,30,0,1,25,120,-,115,100,4,3
281,Pionier,4,9,0,30,30,40,20,20,40,0,1,40,130,-,180,130,4,1
282,Pionier,4,9,0,30,30,40,20,30,50,10,1,20,220,700,200,180,4,6
283,Erlen-Weidengeb《ch,4,8,5,80,5,10,30,60,50,0,1,40,260,-,200,-,4,0
284,Erlen-Weidengeb《ch,4,8,5,80,5,10,30,60,50,0,1,40,260,-,180,-,4,1
285,Erlen-Weidengeb《ch,4,8,5,80,5,10,30,60,50,0,1,40,260,-,130,40,4,1
286,Erlen-Weidengeb《ch,4,8,5,80,5,10,30,60,50,0,1,40,260,-,120,90,4,2
287,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,90,30,0,1,25,200,-,25,120,5,9
288,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,60,50,0,1,20,300,-,80,8,4,2
289,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,50,50,0,1,30,230,-,170,100,4,5
290,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,50,50,0,1,30,230,-,-,140,6,9
291,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,50,50,0,1,30,230,-,180,160,4,9
292,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,70,30,0,1,30,230,-,170,140,4,5
293,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,70,30,0,1,20,200,-,110,110,4,6
294,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,70,60,0,1,30,230,-,150,160,4,3
295,Erlen-Weidengeb《ch,4,8,5,80,5,10,10,70,60,0,1,30,230,-,140,160,4,2
296,Grauerlengeb《ch,4,8,5,75,5,15,10,60,20,0,1,10,190,-,-,180,6,1
297,Grauerlengeb《ch,4,8,5,75,5,15,10,60,20,0,1,10,190,-,70,70,3,1
298,Grauerlengeb《ch,4,8,5,75,5,15,10,60,20,0,1,10,190,-,70,-,3,0
299,Grauerlengeb《ch,4,8,5,75,5,15,10,60,20,0,1,10,190,-,200,160,4,6
300,Grauerlengeb《ch,4,7,5,65,10,20,10,70,30,0,1,15,150,-,120,-,4,0
301,Grauerlengeb《ch,4,7,5,65,10,20,10,70,30,0,1,15,150,-,140,-,4,0
302,Grauerlengeb《ch,4,7,5,65,10,20,10,70,30,0,1,15,150,-,160,-,4,0
303,Grauerlengeb《ch,4,7,5,65,10,20,10,70,30,0,1,15,150,-,160,-,4,1
304,Grauerlengeb《ch,4,7,5,65,10,20,10,70,30,0,1,15,150,-,80,-,3,0
305,Kiefernwald,5,10,0,95,5,0,5,30,60,60,1,10,300,700,240,230,5,9
306,Erlenwald,4,9,0,55,40,5,10,30,40,40,1,20,140,700,220,190,4,9
307,Erlenwald,4,9,0,55,40,5,10,40,40,30,1,15,100,550,90,60,3,3
308,Erlenwald,4,9,0,55,40,5,10,40,40,60,1,15,180,700,100,100,5,1
309,Erlenwald,4,9,0,55,40,5,10,40,40,60,1,15,180,700,130,90,4,2
310,Erlenwald,4,9,0,55,40,5,10,70,30,30,1,40,180,600,60,130,5,5
311,Erlenwald,4,9,0,55,40,5,10,70,30,30,1,40,180,600,120,120,4,1
312,Erlenwald,4,9,5,85,10,0,0,80,30,40,-,10,200,600,110,100,4,6
313,Erlenwald,4,9,5,85,10,0,0,80,30,40,-,10,200,600,140,160,4,4
314,Grauerlengeb《ch,4,7,5,85,10,0,10,80,40,0,1,40,150,-,80,130,4,6
315,Grauerlengeb《ch,3,9,0,80,20,0,10,50,20,40,1,30,160,600,240,160,4,9
316,Grauerlengeb《ch,3,9,0,80,20,0,10,50,20,40,1,30,160,600,-,130,6,9
317,Grauerlengeb《ch,5,8,10,90,0,0,5,90,30,0,1,40,130,-,110,50,4,1
318,Erlenwald,5,8,10,90,0,0,5,95,70,30,1,50,230,520,180,-,4,0
319,Erlenwald,5,8,10,90,0,0,5,95,70,30,1,50,230,520,230,-,4,0
320,Erlenwald,5,8,10,90,0,0,5,95,70,30,1,50,230,520,150,-,4,0
321,Erlenwald,5,8,10,90,0,0,5,80,30,0,1,50,180,-,120,120,5,1
322,Erlenwald,5,8,10,90,0,0,5,80,30,0,1,50,180,-,60,120,5,2
323,Erlenwald,5,8,10,90,0,0,5,90,70,40,1,50,300,600,170,140,5,9
324,Erlenwald,5,13,10,90,0,0,5,95,50,60,1,50,250,700,140,220,5,9
325,Erlenwald,5,13,10,90,0,0,5,90,60,10,1,50,300,700,130,-,4,0
326,Grauerlengeb《ch,4,11,0,90,5,5,1,90,70,0,1,40,400,-,160,190,5,1
327,Grauerlengeb《ch,4,11,0,90,5,5,1,90,70,0,1,40,400,-,170,-,4,-
328,Grauerlengeb《ch,4,11,0,90,5,5,1,90,70,0,1,40,400,-,180,120,4,1
329,Grauerlengeb《ch,4,13,5,95,0,0,15,70,60,0,1,20,300,-,130,160,4,5
330,Grauerlengeb《ch,3,6,0,20,70,10,3,20,30,0,1,15,250,-,65,50,3,1
331,Grauerlengeb《ch,3,6,0,20,70,10,3,20,30,0,1,15,250,-,65,20,3,1
851,Erlen-Weidengeb《ch,2,10,0,70,13,15,4,20,70,0,1,20,350,-,90,-,3,-
852,Erlen-Weidengeb《ch,2,10,0,70,13,15,4,20,70,0,1,20,350,-,13,8,2,1
853,Erlen-Weidengeb《ch,3,6,5,15,30,50,1,30,40,0,1,20,350,-,140,160,4,5
854,Pionier,2,7,5,75,5,15,2,20,0,0,1,15,-,-,60,95,3,6
855,Pionier,2,7,5,75,5,15,5,15,0,0,1,10,-,-,66,30,3,3
856,Pionier,2,10,5,70,13,10,2,20,5,0,1,15,150,-,25,-,2,-
857,Pionier,2,10,5,70,13,10,2,20,5,0,1,15,150,-,50,70,2,3
858,Erlen-Weidengeb《ch,3,6,10,80,5,5,1,40,20,0,1,15,350,-,100,80,4,3
859,Erlen-Weidengeb《ch,3,6,10,80,5,5,1,40,20,0,1,15,350,-,80,60,3,2
860,Erlen-Weidengeb《ch,3,6,10,80,5,5,1,40,20,0,1,15,350,-,80,70,3,3
861,Erlen-Weidengeb《ch,3,6,10,80,5,5,1,40,20,0,1,15,350,-,60,-,3,-
862,Pionier,2,6,10,80,5,5,1,20,5,0,1,15,200,-,20,80,5,2
864,Pionier,3,9,10,80,5,5,1,20,10,0,1,15,200,-,-,80,6,4
866,Erlen-Weidengeb《ch,3,8,10,80,5,5,1,60,50,0,1,15,350,-,-,140,6,5
867,Pionier,3,6,10,80,5,5,1,60,50,0,1,20,200,-,30,-,2,-
868,Erlen-Weidengeb《ch,3,6,10,75,5,5,1,60,30,0,1,20,350,-,100,100,4,2
869,Erlen-Weidengeb《ch,3,6,10,75,5,10,1,30,0,0,1,20,-,-,80,50,3,2
870,Erlen-Weidengeb《ch,3,6,10,75,5,10,3,40,0,0,1,15,-,-,30,-,2,-
871,Erlen-Weidengeb《ch,3,6,10,75,5,10,3,40,0,0,1,15,-,-,30,-,2,-
872,Erlen-Weidengeb《ch,3,6,10,75,5,10,1,30,0,0,1,15,-,-,120,110,4,5
873,Erlen-Weidengeb《ch,3,8,10,75,5,10,3,40,0,0,1,15,-,-,50,-,3,-
874,Erlen-Weidengeb《ch,3,8,10,85,0,5,4,30,5,0,1,20,150,-,40,-,3,-
875,Erlen-Weidengeb《ch,3,8,10,85,0,5,4,30,5,0,1,20,150,-,40,-,3,-
876,Erlen-Weidengeb《ch,3,8,10,85,0,5,4,30,5,0,1,20,150,-,50,40,3,1
877,Grauerlengeb《ch,3,8,10,75,5,10,4,40,30,0,1,20,150,-,30,-,2,-
878,Grauerlengeb《ch,3,8,10,75,5,10,4,40,30,0,1,20,150,-,80,40,3,1
879,Grauerlengeb《ch,3,8,10,75,5,10,4,40,30,0,1,20,150,-,180,50,4,3
880,Grauerlengeb《ch,3,8,10,75,5,10,4,40,10,0,1,20,150,-,170,60,4,7
881,Grauerlengeb《ch,3,10,5,65,10,20,10,40,20,0,1,20,300,-,250,160,4,5
882,Grauerlengeb《ch,3,10,5,65,10,20,10,40,20,0,1,20,300,-,180,-,4,-
883,Grauerlengeb《ch,3,10,5,65,10,20,10,40,20,0,1,20,300,-,160,120,4,2
884,Grauerlengeb《ch,3,10,5,85,5,5,5,50,40,0,1,15,150,-,30,20,2,4
885,Grauerlengeb《ch,3,10,5,85,5,5,5,50,40,0,1,15,150,-,15,-,2,-
886,Grauerlengeb《ch,3,10,5,85,5,5,5,50,40,0,1,15,150,-,45,-,3,-
