GPS-Point,Veg-Type,MorphDyn,Age-Pin,Sub-1,Sub-2,Sub-3,Sub-4,VegDens-1,VegDens-2,VegDens-3,VegDens-4,VegHeight-1,VegHeight-2,VegHeight-3,VegHeight-4,Pnt-live,Pnt-dead,Pnt-Vit,Pnt-Shoots
227,Grauerlengebüsch,2,10,5,45,40,10,5,25,70,0,1,10,280,NA,160,120,4,2
228,Pionier,1,6,5,60,30,5,5,15,50,0,1,20,300,NA,20,NA,2,0
229,Pionier,1,NA,5,30,50,15,0,5,0,0,-0,10,NA,NA,60,NA,3,0
230,Pionier,1,NA,5,30,50,15,0,5,0,0,-0,10,NA,NA,NA,30,6,1
231,Grauerlengebüsch,2,7,5,90,5,0,0,30,50,0,-0,40,250,NA,160,130,4,6
232,Grauerlengebüsch,2,7,5,90,5,0,0,30,50,0,-0,40,250,NA,30,65,3,1
233,Grauerlengebüsch,2,7,5,90,5,0,0,30,50,0,-0,40,250,NA,35,100,5,7
234,Grauerlengebüsch,2,7,5,90,5,0,0,30,40,0,-0,20,350,NA,145,100,4,9
235,Weidengebüsch,2,8,10,70,15,5,10,40,50,0,1,20,250,NA,65,NA,3,0
236,Weidengebüsch,2,8,10,70,15,5,10,40,50,0,1,20,250,NA,NA,120,6,2
237,Grauerlengebüsch,2,7,5,90,5,0,0,30,40,0,-0,20,350,NA,NA,100,6,1
238,Weidengebüsch,4,11,0,20,60,20,30,15,60,0,1,5,300,NA,15,170,5,9
239,Weidengebüsch,4,11,0,20,60,20,30,15,60,0,1,5,300,NA,NA,190,6,9
240,Weidengebüsch,4,11,0,20,60,20,30,15,60,0,1,5,300,NA,NA,160,6,9
241,Weidengebüsch,4,11,0,20,60,20,30,15,60,0,1,5,300,NA,NA,120,6,9
242,Weidengebüsch,4,11,0,20,60,20,40,10,10,0,1,15,110,NA,NA,110,6,9
243,Weidengebüsch,4,11,0,20,60,20,40,20,10,0,1,15,260,NA,NA,120,6,9
244,Weidengebüsch,4,11,0,20,60,20,40,20,10,0,1,15,260,NA,NA,130,6,9
245,Weidengebüsch,4,11,0,20,60,20,15,50,60,0,1,25,260,NA,15,220,5,9
246,Weidengebüsch,4,11,0,20,60,20,15,50,60,0,1,25,260,NA,200,150,4,6
247,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,15,300,NA,170,130,5,7
248,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,15,300,NA,170,130,5,7
249,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,25,300,NA,100,120,4,3
250,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,25,300,NA,140,180,4,1
251,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,25,300,NA,70,80,4,1
252,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,25,300,NA,NA,130,6,9
253,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,25,300,NA,80,160,5,5
254,Weidengebüsch,4,11,0,20,60,20,15,30,60,0,1,25,300,NA,160,170,4,8
255,Weidengebüsch,4,11,0,20,60,20,15,20,10,0,1,15,320,NA,170,190,4,8
256,Weidengebüsch,4,11,0,20,60,20,15,20,10,0,1,15,320,NA,180,160,4,8
257,Weidengebüsch,4,11,0,20,60,20,15,20,10,0,1,15,320,NA,20,150,5,7
258,Weidengebüsch,4,11,0,20,60,20,15,20,10,0,1,15,320,NA,40,180,5,9
259,Weidengebüsch,4,11,0,20,60,20,15,20,10,0,1,15,320,NA,100,60,4,1
260,Weidengebüsch,4,11,0,20,60,20,10,10,20,0,1,30,200,NA,140,130,5,9
261,Weidengebüsch,4,11,0,20,60,20,10,10,20,0,1,30,200,NA,40,180,5,9
262,Weidengebüsch,4,11,0,20,60,20,10,10,20,0,1,30,200,NA,NA,240,6,4
263,Erlen-Weidengebüsch,3,8,5,70,15,10,5,60,40,0,1,40,300,NA,150,130,4,4
264,Erlen-Weidengebüsch,4,8,0,20,50,50,10,40,50,0,1,30,300,NA,140,180,5,9
265,Erlen-Weidengebüsch,4,8,0,20,50,30,10,40,50,0,1,30,300,NA,210,180,4,9
266,Pionier,2,NA,0,10,50,40,0,10,5,0,-0,10,100,NA,20,NA,2,0
267,Pionier,3,NA,0,20,70,10,5,15,0,0,1,10,NA,NA,180,100,4,3
268,Kiefernwald,5,27,10,90,0,0,20,80,20,40,1,25,150,600,100,80,4,2
819,Pionier,2,6,0,10,60,30,2,10,5,0,1,10,150,NA,9,14,2,1
820,Pionier,2,6,0,20,70,10,3,15,10,0,1,15,200,NA,67,NA,3,0
821,Pionier,2,5,0,80,10,10,1,15,20,0,1,20,300,NA,12,NA,2,0
822,Pionier,2,5,0,75,10,15,3,20,40,0,1,15,350,NA,60,80,3,2
823,Pionier,2,5,0,40,50,10,1,5,10,0,1,10,250,NA,30,40,2,3
824,Pionier,2,5,0,40,50,10,1,5,10,0,1,10,250,NA,20,15,2,1
825,Pionier,2,5,0,60,30,10,1,5,10,0,1,10,250,NA,15,NA,2,NA
826,Pionier,2,5,0,50,35,15,1,5,10,0,1,10,250,NA,35,15,3,1
827,Weidengebüsch,4,10,0,50,30,20,5,15,30,0,1,15,300,NA,NA,90,6,9
828,Weidengebüsch,4,10,0,50,30,20,5,15,30,0,1,15,300,NA,NA,120,6,9
829,Weidengebüsch,4,10,0,50,30,20,5,15,30,0,1,15,300,NA,NA,100,6,9
830,Weidengebüsch,4,10,0,50,30,20,5,15,30,0,1,15,300,NA,NA,110,6,9
831,Weidengebüsch,4,10,0,40,20,40,20,5,50,0,1,10,350,NA,NA,160,6,9
832,Weidengebüsch,4,10,0,40,20,40,10,5,40,0,1,10,350,NA,NA,140,6,9
833,Weidengebüsch,4,8,0,40,20,40,30,15,40,0,1,10,300,NA,NA,120,6,9
834,Weidengebüsch,4,8,0,40,20,40,30,15,40,0,1,10,300,NA,NA,130,6,9
835,Weidengebüsch,4,10,0,75,15,10,15,10,70,0,1,5,400,NA,NA,140,6,9
